Customer_ID,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Customer_Segment
CUST129,41,7,426000,3,4,4,11,Loyal Customers
CUST130,41,6,314500,3,3,3,9,Need Attention
CUST131,46,4,316600,3,2,3,8,Need Attention
CUST132,87,6,516000,2,3,5,10,At Risk
CUST133,99,5,541500,2,2,5,9,Need Attention
CUST134,137,1,20000,1,1,1,3,Lost Customers
CUST135,23,4,136200,4,2,2,8,Need Attention
CUST136,36,6,401000,4,3,4,11,Potential Loyalists
CUST137,239,2,93000,1,1,1,3,Lost Customers
CUST138,278,2,200000,1,1,2,4,Lost Customers
CUST139,30,3,129000,4,1,1,6,Lost Customers
CUST140,56,7,520800,3,4,5,12,Loyal Customers
CUST141,1,9,1170000,5,5,5,15,Champions
CUST142,6,7,275000,5,4,3,12,Potential Loyalists
CUST143,44,3,214500,3,1,2,6,Lost Customers
CUST144,116,5,442000,1,2,4,7,Need Attention
CUST145,150,3,7800,1,1,1,3,Lost Customers
CUST146,24,5,171000,4,2,2,8,Need Attention
CUST147,4,7,420100,5,4,4,13,Champions
CUST148,19,5,646000,4,2,5,11,Potential Loyalists
CUST149,65,5,85600,2,2,1,5,Lost Customers
CUST150,157,4,203500,1,2,2,5,Lost Customers
CUST151,26,7,94700,4,4,1,9,Potential Loyalists
CUST152,33,5,175600,4,2,2,8,Need Attention
CUST153,93,5,171000,2,2,2,6,Lost Customers
CUST154,61,2,180000,2,1,2,5,Lost Customers
CUST155,37,4,376000,3,2,4,9,Need Attention
CUST156,64,5,708000,2,2,5,9,Need Attention
CUST157,73,7,191800,2,4,2,8,Need Attention
CUST158,21,10,345500,4,5,4,13,Champions
CUST159,122,6,503800,1,3,5,9,At Risk
CUST160,106,6,230000,2,3,3,8,At Risk
CUST161,5,2,390000,5,1,4,10,Potential Loyalists
CUST162,22,8,829500,4,5,5,14,Champions
CUST163,111,7,388000,1,4,4,9,Loyal Customers
CUST164,17,8,472000,4,5,5,14,Champions
CUST165,75,5,256500,2,2,3,7,Need Attention
CUST167,71,4,33000,2,2,1,5,Lost Customers
CUST168,60,8,514200,3,5,5,13,Loyal Customers
CUST169,8,3,10600,5,1,1,7,Need Attention
CUST170,116,7,170800,1,4,2,7,Need Attention
CUST171,1,5,314000,5,2,3,10,Potential Loyalists
CUST172,38,3,188400,3,1,2,6,Lost Customers
CUST173,109,6,152600,1,3,2,6,Lost Customers
CUST174,12,5,172200,5,2,2,9,Potential Loyalists
CUST175,14,5,237700,5,2,3,10,Potential Loyalists
CUST176,57,7,683000,3,4,5,12,Loyal Customers
CUST177,0,11,543300,5,5,5,15,Champions
CUST178,28,6,829000,4,3,5,12,Potential Loyalists
CUST179,47,8,638800,3,5,5,13,Loyal Customers
CUST180,57,4,290000,3,2,3,8,Need Attention
CUST181,21,5,194500,4,2,2,8,Need Attention
CUST182,85,6,223900,2,3,3,8,At Risk
CUST183,32,4,178000,4,2,2,8,Need Attention
CUST184,15,7,301200,5,4,3,12,Potential Loyalists
CUST185,16,7,551200,4,4,5,13,Champions
CUST186,84,7,216800,2,4,2,8,Need Attention
CUST187,54,4,89000,3,2,1,6,Lost Customers
CUST188,39,5,246000,3,2,3,8,Need Attention
CUST189,48,4,214000,3,2,2,7,Need Attention
CUST190,3,3,62300,5,1,1,7,Need Attention
CUST191,19,6,517000,4,3,5,12,Potential Loyalists
CUST192,77,7,647500,2,4,5,11,Loyal Customers
CUST193,20,8,741600,4,5,5,14,Champions
CUST194,128,5,250500,1,2,3,6,Lost Customers
CUST195,7,4,16800,5,2,1,8,Need Attention
CUST196,83,5,24200,2,2,1,5,Lost Customers
CUST197,60,3,125400,3,1,1,5,Lost Customers
CUST198,78,5,266000,2,2,3,7,Need Attention
CUST199,14,8,730000,5,5,5,15,Champions
CUST200,36,5,407200,4,2,4,10,Potential Loyalists
